model,code,description,param,is_default
元件类型,HR,热电偶,NaN,1
元件数量,-S,单支式,1；单支；Simplex；单支单点；单元件；单只；Single，单支铠装；Single，，1支；one,1
元件数量,-D,双支式,2；双支；Double；Duplex；Two；双支式；双元件；,0
铠套外径(d),3,Ø3mm（仅用于固定式接头结构）,3；3mm；φ3；φ3mm,0
铠套外径(d),4,Ø4mm（仅用于固定式接头结构）,4；4mm；φ4；φ4mm,0
铠套外径(d),5,Ø5mm,5mm；φ5mm；5；φ5,0
铠套外径(d),6,Ø6mm,6；φ6；6mm；Φ6mm,1
铠套外径(d),8,Ø8mm,8；8mm；φ8；φ8mm,0
铠套外径(d),10,Ø10mm,10；10mm；φ10；φ10mm,0
铠套外径(d),Z,其它,其他,0
铠套材质,PN,304SS,304SS；AISI 304；304；30408；S30408；06Cr19Ni10,1
铠套材质,SN,321SS,321SS；1Cr18Ni9Ti；321；S32168；06Cr18Ni11Ti,0
铠套材质,RN,316SS,316SS；316；SS316；316S.S；316SST；S.S316；S31608；06Cr17Ni12Mo2,0
铠套材质,GH,GH3030,GH3030,0
铠套材质,Z,其它,其他,0
加强管长度（N）,%int%,指定长度，单位mm,3位代码,1
分度号,3,PT100 三线,RTD Pt100 三线制；Pt100（三线制）；三线制；Pt100；Pt100（A级 三线制)；CLASS A/三线制；IEC60751 CLASS A / 三线制；RTD Pt100 三线制；三线制 Three wire；热电阻Pt100三线制；Pt100（A级 三线制）；3线制；3线制RTD；Pt100(3-wire) IEC60751 Class A；3 wires；3线RTD；PT100 3线； PT100 AT 0℃ 3WIRE (DIN TYPE)；3-wire；3线 IEC 60751；PT100-3WIRE；Pt100 ohm，3W，Class B；3 WIRE,1
分度号,4,PT100 四线,四线制；Pt100（四线制）；4WIRE；4线；,0
分度号,E,镍铬-铜镍,E；镍铬-铜镍,0
分度号,J,铁-铜镍,J；铁-铜镍,0
分度号,K,镍铬-镍铝,K；IEC标准 K；镍铬-镍硅,0
分度号,T,铜-铜镍,T；铜-铜镍,0
分度号,N,镍铬硅-镍硅镁,N；镍铬硅-镍硅镁,0
分度号,S,铂-铂铑10,S；铂-铂铑10,0
分度号,R,铂-铂铑13,R；铂-铂铑13,0
分度号,B,铂铑30-铂铑6,B；铂铑30-铂铑6,0
分度号,Z,其它,NaN,0
接线盒形式,-1,YTA610、YTA710,一体式；一体化铠装热电阻-带外套管；一体化温度变送器；Head Mount；Integrate；一体式温度变送器；一体化安装；变送器一体式；一体化；Integral RTD Field Mounted Tran.；一体化温变；Integral；就地⼀体式；智能一体化；一体式温度变送器；一体化变送器；一体化温度计；integrated；就地一体式,1
接线盒形式,-2,接线盒、1/2NPT电气接口,分体式；精小型分体式温度变送器；分体式安装；分体式温度变送器,0
接线盒形式,-3,接线盒、M20*1.5电气接口,分体式；精小型分体式温度变送器；分体式安装；分体式温度变送器,0
接线盒形式,-4,不带接线盒、1/2NPT电气接口,NaN,0
接线盒形式,-5,不带接线盒、M20*1.5电气接口,NaN,0
接头结构,1,弹簧紧压式（弹簧伸缩长度5mm）,带；弹簧压紧式；弹簧压着式；有；带压紧弹簧；Yes；压簧式；接触传热；Y；弹顶装配式；压着式铠装；压着式；带弹簧铠装,1
接头结构,2,固定式,不带；NO，防内漏；,0
连接螺纹,0,无,无；NA.,0
连接螺纹,1,M12×1.5,M12；M12*1.5；M12×1.5,0
连接螺纹,2,M16×1.5,M16；M16*1.5；M16×1.5,0
连接螺纹,3,M27×2,M27；M27*2；M27×2；M27X2；固定外螺纹 M27×2；FIXED THREAD M27x2；Screw ThreadM27X2,0
连接螺纹,4,G1/2,G1/2；G1/2外螺纹(M)；G1/2(M),0
连接螺纹,5,M20×1.5,M20；M20*1.5；M20×1.5；M20*1.5(M)；M20×1.5(M)；M20X1.5；M20x1.5(M)；固定外螺纹M20x1.5,0
连接螺纹,6,1/2NPT,1/2NPT；1/2"NPT；NPT1/2；NPT1/2"；1/2NPT(M)；1/2"NPT(M)；NPT1/2(M)；NPT1/2"(M)；1/2"NPT(外螺纹)；1/2"NPT螺纹；热电阻(弹簧式1/2”NPT外螺纹连接)；固定外螺纹 1/2"NPT；MFR STD,1
插入长度（L）,-%int%,单位mm,铠套热电阻/热点偶；带外保护套管时，此项可省略。,0
传感器附加规格,NaN,默认,若甲方未提供，则选择此项,1
传感器附加规格,/N1,一体化温度变送器隔爆证书,需一体化温度变送器与变送器NEPSI选项为NF2同时生效,0
传感器附加规格,/N2,一体化温度变送器本安证书,需一体化温度变送器与变送器NEPSI选项为NS2或NS25同时生效,0
传感器附加规格,/w,电气接口弯头,电气接口弯头；带,0
传感器附加规格,/A1,焊接座,材质□□□ 长□□□mm；□□□焊接安装座，长□□□mm,0
传感器附加规格,/B11,防水接线盒，材质铝合金,"合金铝；Aluminum；铸铝合金；防爆铝合金；铝；Aluminum-Alloy；铝合金＋聚氨酯涂层；低铜铝合金；聚氨酯烤漆低铜铸铝合金；铝合金喷塑；aluminium alloy；铸铝镁合金；静电喷涂铝合金；Aluminium Alloy；Epoxy coated aluminum；环氧涂层铝；铸铝(Cast Aluminum)；铸铝+防腐喷涂；铝合金（防腐处理）；铝制；铸铝+环氧涂层；铝合金(环氧树脂烤漆)；铝覆聚氨酯涂层；铝覆聚氨脂；AL&Polyyurethane paint； Epoxy Coated Aluminium；Aluminum Alloy w/ Coating；铝、覆聚氨酯涂层；Low-copper aluminum with polyurethane painting;聚氨酯涂层低铜铝合金；",0
传感器附加规格,/B12,防水接线盒，材质不锈钢,不锈钢；316SS；304SS；316；不锈钢SS；316SST；S.S 316；304SS不锈钢,0
