model,code,description,remark
HZ,HZ,热电阻,*1：适用于PT1、PT2、PT3金属保护管时，选择000。；*2：插入长度≤50mm，材质与外保护管一致，如需其他，请注明。；*3：带外保护套管时，此项可省略。；*4：仅适用于YTA50、YTA70。；*5：仅适用于HR。；*6：仅适用于NEPSI防爆/N2。；*7：产品如带外保护套管，仍需防尘防爆认证。；*9：仅适用于NEPSI防爆/NS2。
元件数量☆,-S,单支式,*1：适用于PT1、PT2、PT3金属保护管时，选择000。；*2：插入长度≤50mm，材质与外保护管一致，如需其他，请注明。；*3：带外保护套管时，此项可省略。；*4：仅适用于YTA50、YTA70。；*5：仅适用于HR。；*6：仅适用于NEPSI防爆/N2。；*7：产品如带外保护套管，仍需防尘防爆认证。；*9：仅适用于NEPSI防爆/NS2。
元件数量☆,-D,双支式,*1：适用于PT1、PT2、PT3金属保护管时，选择000。；*2：插入长度≤50mm，材质与外保护管一致，如需其他，请注明。；*3：带外保护套管时，此项可省略。；*4：仅适用于YTA50、YTA70。；*5：仅适用于HR。；*6：仅适用于NEPSI防爆/N2。；*7：产品如带外保护套管，仍需防尘防爆认证。；*9：仅适用于NEPSI防爆/NS2。
铠装外径（d）,3,Ø3mm（仅用于固定式接头结构）,*1：适用于PT1、PT2、PT3金属保护管时，选择000。；*2：插入长度≤50mm，材质与外保护管一致，如需其他，请注明。；*3：带外保护套管时，此项可省略。；*4：仅适用于YTA50、YTA70。；*5：仅适用于HR。；*6：仅适用于NEPSI防爆/N2。；*7：产品如带外保护套管，仍需防尘防爆认证。；*9：仅适用于NEPSI防爆/NS2。
铠装外径（d）,4,Ø4mm（仅用于固定式接头结构）,*1：适用于PT1、PT2、PT3金属保护管时，选择000。；*2：插入长度≤50mm，材质与外保护管一致，如需其他，请注明。；*3：带外保护套管时，此项可省略。；*4：仅适用于YTA50、YTA70。；*5：仅适用于HR。；*6：仅适用于NEPSI防爆/N2。；*7：产品如带外保护套管，仍需防尘防爆认证。；*9：仅适用于NEPSI防爆/NS2。
铠装外径（d）,5,Ø5mm,*1：适用于PT1、PT2、PT3金属保护管时，选择000。；*2：插入长度≤50mm，材质与外保护管一致，如需其他，请注明。；*3：带外保护套管时，此项可省略。；*4：仅适用于YTA50、YTA70。；*5：仅适用于HR。；*6：仅适用于NEPSI防爆/N2。；*7：产品如带外保护套管，仍需防尘防爆认证。；*9：仅适用于NEPSI防爆/NS2。
铠装外径（d）,6,Ø6mm,*1：适用于PT1、PT2、PT3金属保护管时，选择000。；*2：插入长度≤50mm，材质与外保护管一致，如需其他，请注明。；*3：带外保护套管时，此项可省略。；*4：仅适用于YTA50、YTA70。；*5：仅适用于HR。；*6：仅适用于NEPSI防爆/N2。；*7：产品如带外保护套管，仍需防尘防爆认证。；*9：仅适用于NEPSI防爆/NS2。
铠装外径（d）,8,Ø8mm,*1：适用于PT1、PT2、PT3金属保护管时，选择000。；*2：插入长度≤50mm，材质与外保护管一致，如需其他，请注明。；*3：带外保护套管时，此项可省略。；*4：仅适用于YTA50、YTA70。；*5：仅适用于HR。；*6：仅适用于NEPSI防爆/N2。；*7：产品如带外保护套管，仍需防尘防爆认证。；*9：仅适用于NEPSI防爆/NS2。
铠装外径（d）,10,Ø10mm,*1：适用于PT1、PT2、PT3金属保护管时，选择000。；*2：插入长度≤50mm，材质与外保护管一致，如需其他，请注明。；*3：带外保护套管时，此项可省略。；*4：仅适用于YTA50、YTA70。；*5：仅适用于HR。；*6：仅适用于NEPSI防爆/N2。；*7：产品如带外保护套管，仍需防尘防爆认证。；*9：仅适用于NEPSI防爆/NS2。
铠装外径（d）,Z,其它,*1：适用于PT1、PT2、PT3金属保护管时，选择000。；*2：插入长度≤50mm，材质与外保护管一致，如需其他，请注明。；*3：带外保护套管时，此项可省略。；*4：仅适用于YTA50、YTA70。；*5：仅适用于HR。；*6：仅适用于NEPSI防爆/N2。；*7：产品如带外保护套管，仍需防尘防爆认证。；*9：仅适用于NEPSI防爆/NS2。
铠装材质☆,PN,304SS,*1：适用于PT1、PT2、PT3金属保护管时，选择000。；*2：插入长度≤50mm，材质与外保护管一致，如需其他，请注明。；*3：带外保护套管时，此项可省略。；*4：仅适用于YTA50、YTA70。；*5：仅适用于HR。；*6：仅适用于NEPSI防爆/N2。；*7：产品如带外保护套管，仍需防尘防爆认证。；*9：仅适用于NEPSI防爆/NS2。
铠装材质☆,SN,321SS,*1：适用于PT1、PT2、PT3金属保护管时，选择000。；*2：插入长度≤50mm，材质与外保护管一致，如需其他，请注明。；*3：带外保护套管时，此项可省略。；*4：仅适用于YTA50、YTA70。；*5：仅适用于HR。；*6：仅适用于NEPSI防爆/N2。；*7：产品如带外保护套管，仍需防尘防爆认证。；*9：仅适用于NEPSI防爆/NS2。
铠装材质☆,RN,316SS,*1：适用于PT1、PT2、PT3金属保护管时，选择000。；*2：插入长度≤50mm，材质与外保护管一致，如需其他，请注明。；*3：带外保护套管时，此项可省略。；*4：仅适用于YTA50、YTA70。；*5：仅适用于HR。；*6：仅适用于NEPSI防爆/N2。；*7：产品如带外保护套管，仍需防尘防爆认证。；*9：仅适用于NEPSI防爆/NS2。
铠装材质☆,GH,GH3030,*1：适用于PT1、PT2、PT3金属保护管时，选择000。；*2：插入长度≤50mm，材质与外保护管一致，如需其他，请注明。；*3：带外保护套管时，此项可省略。；*4：仅适用于YTA50、YTA70。；*5：仅适用于HR。；*6：仅适用于NEPSI防爆/N2。；*7：产品如带外保护套管，仍需防尘防爆认证。；*9：仅适用于NEPSI防爆/NS2。
钎套长度,□□□,单位mm,*1 采用抱箍将感温片固定在测温点，需提供现场管道直径。；*2 将感温片焊接固定在测温点，需提供现场曲面半径。；*3 铠套端预留螺纹接口，便于在隔爆安装环境下安装。
过程连接,-S,抱箍式 *1,*1 采用抱箍将感温片固定在测温点，需提供现场管道直径。；*2 将感温片焊接固定在测温点，需提供现场曲面半径。；*3 铠套端预留螺纹接口，便于在隔爆安装环境下安装。
过程连接,-W,焊接式 *2,*1 采用抱箍将感温片固定在测温点，需提供现场管道直径。；*2 将感温片焊接固定在测温点，需提供现场曲面半径。；*3 铠套端预留螺纹接口，便于在隔爆安装环境下安装。
补偿导线长度,□□□,单位mm *3,*1 采用抱箍将感温片固定在测温点，需提供现场管道直径。；*2 将感温片焊接固定在测温点，需提供现场曲面半径。；*3 铠套端预留螺纹接口，便于在隔爆安装环境下安装。
铠套长度,□□□,单位mm *注3，仅适用于SR),*1 采用抱箍将感温片固定在测温点，需提供现场管道直径。；*2 将感温片焊接固定在测温点，需提供现场曲面半径。；*3 铠套端预留螺纹接口，便于在隔爆安装环境下安装。
