model,code,description,remark
SR,SR,热电偶,*1 采用抱箍将感温片固定在测温点，需提供现场管道直径。 ；*2 将感温片焊接固定在测温点，需提供现场曲面半径。 ；*3 铠套端预留螺纹接口，便于在隔爆安装环境下安装。
原件数量,-S,单支,*1 采用抱箍将感温片固定在测温点，需提供现场管道直径。 ；*2 将感温片焊接固定在测温点，需提供现场曲面半径。 ；*3 铠套端预留螺纹接口，便于在隔爆安装环境下安装。
原件数量,-D,双支,*1 采用抱箍将感温片固定在测温点，需提供现场管道直径。 ；*2 将感温片焊接固定在测温点，需提供现场曲面半径。 ；*3 铠套端预留螺纹接口，便于在隔爆安装环境下安装。
钎套外径,4,Φ4,*1 采用抱箍将感温片固定在测温点，需提供现场管道直径。 ；*2 将感温片焊接固定在测温点，需提供现场曲面半径。 ；*3 铠套端预留螺纹接口，便于在隔爆安装环境下安装。
钎套外径,5,Φ5,*1 采用抱箍将感温片固定在测温点，需提供现场管道直径。 ；*2 将感温片焊接固定在测温点，需提供现场曲面半径。 ；*3 铠套端预留螺纹接口，便于在隔爆安装环境下安装。
钎套外径,6,Φ6,*1 采用抱箍将感温片固定在测温点，需提供现场管道直径。 ；*2 将感温片焊接固定在测温点，需提供现场曲面半径。 ；*3 铠套端预留螺纹接口，便于在隔爆安装环境下安装。
钎套材质,PN,304 SS,*1 采用抱箍将感温片固定在测温点，需提供现场管道直径。 ；*2 将感温片焊接固定在测温点，需提供现场曲面半径。 ；*3 铠套端预留螺纹接口，便于在隔爆安装环境下安装。
钎套材质,RL,316L SS,*1 采用抱箍将感温片固定在测温点，需提供现场管道直径。 ；*2 将感温片焊接固定在测温点，需提供现场曲面半径。 ；*3 铠套端预留螺纹接口，便于在隔爆安装环境下安装。
钎套材质,SN,321 SS,*1 采用抱箍将感温片固定在测温点，需提供现场管道直径。 ；*2 将感温片焊接固定在测温点，需提供现场曲面半径。 ；*3 铠套端预留螺纹接口，便于在隔爆安装环境下安装。
分度号,3,PT100，3线,*1 采用抱箍将感温片固定在测温点，需提供现场管道直径。 ；*2 将感温片焊接固定在测温点，需提供现场曲面半径。 ；*3 铠套端预留螺纹接口，便于在隔爆安装环境下安装。
分度号,4,PT100，4线,*1 采用抱箍将感温片固定在测温点，需提供现场管道直径。 ；*2 将感温片焊接固定在测温点，需提供现场曲面半径。 ；*3 铠套端预留螺纹接口，便于在隔爆安装环境下安装。
分度号,E,镍铬-铜镍,*1 采用抱箍将感温片固定在测温点，需提供现场管道直径。 ；*2 将感温片焊接固定在测温点，需提供现场曲面半径。 ；*3 铠套端预留螺纹接口，便于在隔爆安装环境下安装。
分度号,K,镍铬-镍硅,*1 采用抱箍将感温片固定在测温点，需提供现场管道直径。 ；*2 将感温片焊接固定在测温点，需提供现场曲面半径。 ；*3 铠套端预留螺纹接口，便于在隔爆安装环境下安装。
钎套长度,□□□,单位mm,*1 采用抱箍将感温片固定在测温点，需提供现场管道直径。 ；*2 将感温片焊接固定在测温点，需提供现场曲面半径。 ；*3 铠套端预留螺纹接口，便于在隔爆安装环境下安装。
过程连接,-S,抱箍式 *1,*1 采用抱箍将感温片固定在测温点，需提供现场管道直径。 ；*2 将感温片焊接固定在测温点，需提供现场曲面半径。 ；*3 铠套端预留螺纹接口，便于在隔爆安装环境下安装。
过程连接,-W,焊接式 *2,*1 采用抱箍将感温片固定在测温点，需提供现场管道直径。 ；*2 将感温片焊接固定在测温点，需提供现场曲面半径。 ；*3 铠套端预留螺纹接口，便于在隔爆安装环境下安装。
补偿导线长度,□□□,单位mm *3,*1 采用抱箍将感温片固定在测温点，需提供现场管道直径。 ；*2 将感温片焊接固定在测温点，需提供现场曲面半径。 ；*3 铠套端预留螺纹接口，便于在隔爆安装环境下安装。
铠套长度,□□□,单位mm *注3，仅适用于SR),*1 采用抱箍将感温片固定在测温点，需提供现场管道直径。 ；*2 将感温片焊接固定在测温点，需提供现场曲面半径。 ；*3 铠套端预留螺纹接口，便于在隔爆安装环境下安装。
