model,code,description,remark
TG,TG,保护套管,例：TG-A2-27GH22/16-250  ；(1)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(2)带温度元件安装时，必须提供现场工况过程参数(温度，压力，介质密度，介质黏度，介质流速，管道尺寸)。；(3)粗糙度Ra=0.8，长度不超过500mm。
选型,-A,A 型螺纹连接锥形保护套管,例：TG-A2-27GH22/16-250  ；(1)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(2)带温度元件安装时，必须提供现场工况过程参数(温度，压力，介质密度，介质黏度，介质流速，管道尺寸)。；(3)粗糙度Ra=0.8，长度不超过500mm。
选型,-B,B 型螺纹连接直形保护套管,例：TG-A2-27GH22/16-250  ；(1)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(2)带温度元件安装时，必须提供现场工况过程参数(温度，压力，介质密度，介质黏度，介质流速，管道尺寸)。；(3)粗糙度Ra=0.8，长度不超过500mm。
选型,-C,C 型螺纹连接台阶形保护套管,例：TG-A2-27GH22/16-250  ；(1)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(2)带温度元件安装时，必须提供现场工况过程参数(温度，压力，介质密度，介质黏度，介质流速，管道尺寸)。；(3)粗糙度Ra=0.8，长度不超过500mm。
传感器连接螺纹（S）；注：带温度元件，此项可省,1,M12 × 1.5,例：TG-A2-27GH22/16-250  ；(1)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(2)带温度元件安装时，必须提供现场工况过程参数(温度，压力，介质密度，介质黏度，介质流速，管道尺寸)。；(3)粗糙度Ra=0.8，长度不超过500mm。
传感器连接螺纹（S）；注：带温度元件，此项可省,2,M16 × 1.5,例：TG-A2-27GH22/16-250  ；(1)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(2)带温度元件安装时，必须提供现场工况过程参数(温度，压力，介质密度，介质黏度，介质流速，管道尺寸)。；(3)粗糙度Ra=0.8，长度不超过500mm。
传感器连接螺纹（S）；注：带温度元件，此项可省,3,M27 × 2,例：TG-A2-27GH22/16-250  ；(1)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(2)带温度元件安装时，必须提供现场工况过程参数(温度，压力，介质密度，介质黏度，介质流速，管道尺寸)。；(3)粗糙度Ra=0.8，长度不超过500mm。
传感器连接螺纹（S）；注：带温度元件，此项可省,4,G1/2,例：TG-A2-27GH22/16-250  ；(1)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(2)带温度元件安装时，必须提供现场工况过程参数(温度，压力，介质密度，介质黏度，介质流速，管道尺寸)。；(3)粗糙度Ra=0.8，长度不超过500mm。
传感器连接螺纹（S）；注：带温度元件，此项可省,5,G3/4,例：TG-A2-27GH22/16-250  ；(1)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(2)带温度元件安装时，必须提供现场工况过程参数(温度，压力，介质密度，介质黏度，介质流速，管道尺寸)。；(3)粗糙度Ra=0.8，长度不超过500mm。
传感器连接螺纹（S）；注：带温度元件，此项可省,6,1/2NPT,例：TG-A2-27GH22/16-250  ；(1)默认长度H=50mm，材质与外保护管一致，如需其他，请注明。；(2)带温度元件安装时，必须提供现场工况过程参数(温度，压力，介质密度，介质黏度，介质流速，管道尺寸)。；(3)粗糙度Ra=0.8，长度不超过500mm。
