model,code,description,remark
TG,TG,保护套管,例：TG-PT1-200RN-16；粗糙度Ra=0.8，长度不超过500mm
套管形式,-PT1,无固定装置金属保护管,例：TG-PT1-200RN-16；粗糙度Ra=0.8，长度不超过500mm
插入深度 (U),-%int%,单位mm,例：TG-PT1-200RN-16；粗糙度Ra=0.8，长度不超过500mm
材质,RN,参见表2材质规格代码表,例：TG-PT1-200RN-16；粗糙度Ra=0.8，长度不超过500mm
外径 (d),-12,12mm,例：TG-PT1-200RN-16；粗糙度Ra=0.8，长度不超过500mm
外径 (d),-16,16mm,例：TG-PT1-200RN-16；粗糙度Ra=0.8，长度不超过500mm
外径 (d),-20,20mm,例：TG-PT1-200RN-16；粗糙度Ra=0.8，长度不超过500mm
外径 (d),-%int%,单独指定，单位mm,例：TG-PT1-200RN-16；粗糙度Ra=0.8，长度不超过500mm
附加规格代码,/A4,外保护套管材质报告,例：TG-PT1-200RN-16；粗糙度Ra=0.8，长度不超过500mm
附加规格代码,/R1,外保护套管接液部分禁油处理,例：TG-PT1-200RN-16；粗糙度Ra=0.8，长度不超过500mm
附加规格代码,/F2,外保护套管接液部分抛光处理,例：TG-PT1-200RN-16；粗糙度Ra=0.8，长度不超过500mm
