model,code,description,remark
温度变送器,YTA610,温度变送器,NaN
输出信号,-J,4~20 mA DC，HART 通信型,NaN
输出信号,-F,FOUNDATION现场总线通信型 ,NaN
说明书语言,A,Global,NaN
说明书语言,B,中文,*2： 不能在中国以外的国家或地区销售。 ；*3： 中国国内生产的产品随附中文铭牌和中文IM手册。 
传感器输入,1,单支输入,NaN
传感器输入,2,双支输入,NaN
壳体代码,A,铝,NaN
壳体代码,C,不锈钢,NaN
接线口,0,G1/2 内螺纹,NaN
接线口,2,1/2NPT 内螺纹,NaN
接线口,4,M20 内螺纹,NaN
内置指示器,D,数字指示器（带现场参数设定功能）,NaN
内置指示器,N,无,NaN
安装支架,B,304 SST 或 ASTM304L 2B 水平管道安装用,*1： 壁装时，请自备螺栓和螺母。 
安装支架,D,304 SST 或 ASTM304L 2B 垂直管道安装用,NaN
安装支架,J,316 SST 或 ASTM316L 2B 水平管道安装用,*1： 壁装时，请自备螺栓和螺母。 
安装支架,K,316 SST 或 ASTM316L 2B 垂直管道安装用,NaN
安装支架,N,无,NaN
附加规格,NaN,默认,若甲方未提供，则选择此项
附加代码,/A,带避雷器：允许电流：最大6000 A（8×20μs），反复1000 A（8×20μs）100次,NaN
附加代码,/P1,涂层：涂层颜色/涂层变更 (仅放大器盖)；涂层颜色：蒙塞尔N1.5 (黑色) 涂层：高防腐涂层,*1： 不能与不锈钢壳体组合。 ；*2： 不能与X2或P□组合。*4：变更部分以外为标准涂层颜色(薄荷绿)和标准涂层(聚酯硬化型聚酯粉末涂层)。
附加代码,/P2,涂层：涂层颜色/涂层变更 (仅放大器盖)；涂层颜色：蒙塞尔7.5BG4/1.5 (翠绿色) 涂层：高防腐涂层,*1： 不能与不锈钢壳体组合。 ；*2： 不能与X2或P□组合。*4：变更部分以外为标准涂层颜色(薄荷绿)和标准涂层(聚酯硬化型聚酯粉末涂层)。
附加代码,/P7,涂层：涂层颜色/涂层变更 (仅放大器盖)；涂层颜色：金属银 涂层：高防腐涂层,*1： 不能与不锈钢壳体组合。 ；*2： 不能与X2或P□组合。*4：变更部分以外为标准涂层颜色(薄荷绿)和标准涂层(聚酯硬化型聚酯粉末涂层)。
附加代码,/PR,涂层：涂层颜色/涂层变更 (放大器及端子盖)；涂层颜色：蒙塞尔7.5R4/14或相当颜色 涂层：高防腐涂层,*1： 不能与不锈钢壳体组合。 ；*2： 不能与X2或P□组合。*4：变更部分以外为标准涂层颜色(薄荷绿)和标准涂层(聚酯硬化型聚酯粉末涂层)。
附加代码,/X2,涂层：涂层变更 (外壳、放大器及端子盖)；高防腐涂层,*1： 不能与不锈钢壳体组合。 ；*2： 不能与X2或P□组合。
