model,code,description,remark
带避雷器 *5,A,允许电流：最大6000 A（8×20μs），反复1000 A（8×20μs）100次,*1： 不能与不锈钢壳体组合。 ；*2： 不能与X2或P□组合。 ；*3： 仅支持HART通信型。 ；*4： 变更部分以外为标准涂层颜色(薄荷绿)和标准涂层(聚酯硬化型聚酯粉末涂层)。 ；*5： 避雷器可拆装。 ；*6： 基本规格代码中文B和SG不能组合。 ；*7： 不带SG时为中国产品(随附英文铭牌和英文IM)。 ；*8： 带SG的产品原则上为新加坡生产的产品。 ；*9： 不能与SG组合。
涂层 *1 *2,P1,涂层颜色/涂层变更 (仅放大器盖*4)；涂层颜色：蒙塞尔N1.5 (黑色) 涂层：高防腐涂层,*1： 不能与不锈钢壳体组合。 ；*2： 不能与X2或P□组合。 ；*3： 仅支持HART通信型。 ；*4： 变更部分以外为标准涂层颜色(薄荷绿)和标准涂层(聚酯硬化型聚酯粉末涂层)。 ；*5： 避雷器可拆装。 ；*6： 基本规格代码中文B和SG不能组合。 ；*7： 不带SG时为中国产品(随附英文铭牌和英文IM)。 ；*8： 带SG的产品原则上为新加坡生产的产品。 ；*9： 不能与SG组合。
涂层 *1 *2,P2,涂层颜色/涂层变更 (仅放大器盖*4)；涂层颜色：蒙塞尔7.5BG4/1.5 (翠绿色) 涂层：高防腐涂层,*1： 不能与不锈钢壳体组合。 ；*2： 不能与X2或P□组合。 ；*3： 仅支持HART通信型。 ；*4： 变更部分以外为标准涂层颜色(薄荷绿)和标准涂层(聚酯硬化型聚酯粉末涂层)。 ；*5： 避雷器可拆装。 ；*6： 基本规格代码中文B和SG不能组合。 ；*7： 不带SG时为中国产品(随附英文铭牌和英文IM)。 ；*8： 带SG的产品原则上为新加坡生产的产品。 ；*9： 不能与SG组合。
涂层 *1 *2,P7,涂层颜色/涂层变更 (仅放大器盖*4)；涂层颜色：金属银 涂层：高防腐涂层,*1： 不能与不锈钢壳体组合。 ；*2： 不能与X2或P□组合。 ；*3： 仅支持HART通信型。 ；*4： 变更部分以外为标准涂层颜色(薄荷绿)和标准涂层(聚酯硬化型聚酯粉末涂层)。 ；*5： 避雷器可拆装。 ；*6： 基本规格代码中文B和SG不能组合。 ；*7： 不带SG时为中国产品(随附英文铭牌和英文IM)。 ；*8： 带SG的产品原则上为新加坡生产的产品。 ；*9： 不能与SG组合。
涂层 *1 *2,PR,涂层颜色/涂层变更 (放大器及端子盖*4)；涂层颜色：蒙塞尔7.5R4/14或相当颜色 涂层：高防腐涂层,*1： 不能与不锈钢壳体组合。 ；*2： 不能与X2或P□组合。 ；*3： 仅支持HART通信型。 ；*4： 变更部分以外为标准涂层颜色(薄荷绿)和标准涂层(聚酯硬化型聚酯粉末涂层)。 ；*5： 避雷器可拆装。 ；*6： 基本规格代码中文B和SG不能组合。 ；*7： 不带SG时为中国产品(随附英文铭牌和英文IM)。 ；*8： 带SG的产品原则上为新加坡生产的产品。 ；*9： 不能与SG组合。
涂层 *1 *2,X2,涂层变更 (外壳、放大器及端子盖)；高防腐涂层,*1： 不能与不锈钢壳体组合。 ；*2： 不能与X2或P□组合。 ；*3： 仅支持HART通信型。 ；*4： 变更部分以外为标准涂层颜色(薄荷绿)和标准涂层(聚酯硬化型聚酯粉末涂层)。 ；*5： 避雷器可拆装。 ；*6： 基本规格代码中文B和SG不能组合。 ；*7： 不带SG时为中国产品(随附英文铭牌和英文IM)。 ；*8： 带SG的产品原则上为新加坡生产的产品。 ；*9： 不能与SG组合。
变送器异常时的输出方向 LOW侧设定*6,C1,将异常时的输出值设定在LOW侧(-5％，3.2 mA DC或以下) 将传感器断偶的输出值设定在LOW侧(-2.5％，3.6 mA DC),*1： 不能与不锈钢壳体组合。 ；*2： 不能与X2或P□组合。 ；*3： 仅支持HART通信型。 ；*4： 变更部分以外为标准涂层颜色(薄荷绿)和标准涂层(聚酯硬化型聚酯粉末涂层)。 ；*5： 避雷器可拆装。 ；*6： 基本规格代码中文B和SG不能组合。 ；*7： 不带SG时为中国产品(随附英文铭牌和英文IM)。 ；*8： 带SG的产品原则上为新加坡生产的产品。 ；*9： 不能与SG组合。
NAMUR NE43 标准输出*3,C2,输出电流范围： 3.8～20.5 mA DC；将异常时的输出值设定在LOW侧(-5％，3.2 mA DC或以下) 将传感器断偶值设定在LOW侧(-2.5％，3.6 mA DC),*1： 不能与不锈钢壳体组合。 ；*2： 不能与X2或P□组合。 ；*3： 仅支持HART通信型。 ；*4： 变更部分以外为标准涂层颜色(薄荷绿)和标准涂层(聚酯硬化型聚酯粉末涂层)。 ；*5： 避雷器可拆装。 ；*6： 基本规格代码中文B和SG不能组合。 ；*7： 不带SG时为中国产品(随附英文铭牌和英文IM)。 ；*8： 带SG的产品原则上为新加坡生产的产品。 ；*9： 不能与SG组合。
NAMUR NE43 标准输出*3,C3,输出电流范围： 3.8～20.5 mA DC；将异常时的输出值设定在HIGH侧(110%，21.6 mA DC或以上) 将传感器断偶值设定在HIGH侧(110%，21.6 mA DC),*1： 不能与不锈钢壳体组合。 ；*2： 不能与X2或P□组合。 ；*3： 仅支持HART通信型。 ；*4： 变更部分以外为标准涂层颜色(薄荷绿)和标准涂层(聚酯硬化型聚酯粉末涂层)。 ；*5： 避雷器可拆装。 ；*6： 基本规格代码中文B和SG不能组合。 ；*7： 不带SG时为中国产品(随附英文铭牌和英文IM)。 ；*8： 带SG的产品原则上为新加坡生产的产品。 ；*9： 不能与SG组合。
数据标签 *6,CA,说明HART通信规格的Descriptor参数(最多16个字符),*1： 不能与不锈钢壳体组合。 ；*2： 不能与X2或P□组合。 ；*3： 仅支持HART通信型。 ；*4： 变更部分以外为标准涂层颜色(薄荷绿)和标准涂层(聚酯硬化型聚酯粉末涂层)。 ；*5： 避雷器可拆装。 ；*6： 基本规格代码中文B和SG不能组合。 ；*7： 不带SG时为中国产品(随附英文铭牌和英文IM)。 ；*8： 带SG的产品原则上为新加坡生产的产品。 ；*9： 不能与SG组合。
