model,code,description,param,is_default
温度变送器,YTA710,温度变送器,NaN,1
输出信号,-D,BRAIN通信型,NaN,0
输出信号,-J,HART 通信型,NaN,1
输出信号,-F,FOUNDATION现场总线通信型 ,FF；FOUNDATION；FF ITK(LATEST),0
说明书语言,A,Global,Glob；英语；English,0
说明书语言,B,中文,中文，带中文说明,1
传感器输入,1,单支输入,单支输入；单支式温度传感器,1
传感器输入,2,双支输入,双支输入；双支式温度传感器,0
壳体代码,A,铝,合金铝；Aluminum；铸铝合金；防爆铝合金；铝；Aluminum-Alloy；铝合金＋聚氨酯涂层；低铜铝合金；聚氨酯烤漆低铜铸铝合金；铝合金喷塑；aluminium alloy；铸铝镁合金；静电喷涂铝合金；Aluminium Alloy；Epoxy coated aluminum；环氧涂层铝；铸铝(Cast Aluminum)；铸铝+防腐喷涂；铝合金（防腐处理）；铝制；铸铝+环氧涂层；铝合金(环氧树脂烤漆)；铝覆聚氨酯涂层；铝覆聚氨脂；AL&Polyyurethane paint； Epoxy Coated Aluminium；Aluminum Alloy w/ Coating；铝、覆聚氨酯涂层；Low-copper aluminum with polyurethane painting聚氨酯涂层低铜铝合金；,1
壳体代码,C,不锈钢,不锈钢；316SS；304SS；316；不锈钢SS；316SST；S.S 316；304SS不锈钢,0
接线口,0,G1/2 内螺纹,G1/2,0
接线口,2,1/2NPT 内螺纹,1/2"NPT(F)；1/2"NPT(内螺纹)；1/2NPT；1/2NPT(F)；NPT1/2内螺纹口；NPT1/2"；1/2"NPTF；1/2"FNPT；1/2”NPT(F)；1/2”NPT；1/2NPT内螺纹；NPT(F)1/2” ；1/2“NPT(F)；1/2''NPT；1/2"NPT（F）,1
接线口,4,M20 内螺纹,M20×1.5；M20x1.5(F)；M20*1.5；M20X1.5；M20×1.5（F）；M20×1.5(F)；M20X1.5(F)；M20*1.5(F)；M20,0
内置指示器,D,数字指示器（带现场参数设定功能）,LCD DISPLAY；带；YES；带可修改量程显示屏；液晶数显LCD；带；LCD；液晶显示；LCD显示屏；带；液晶数字表头；带LCD；LCD表头；LCD带背光,0
内置指示器,N,无,无；NA；不带,1
安装支架,B,304 SST 或 ASTM304L 2B 水平管道安装用,支架安装，2"管装，2“钢管，2''管安装，有，304水平安装支架， 2"横管安装 不锈钢材质， 2"横管安装，支架材质304SS，2″管装平板支架，带2"管支架及U型栓，带，304SS，YES,0
安装支架,D,304 SST 或 ASTM304L 2B 垂直管道安装用,304垂直安装支架，2"管垂直安装,0
安装支架,J,316 SST 或 ASTM316L 2B 水平管道安装用,316水平安装支架，316安装支架,0
安装支架,K,316 SST 或 ASTM316L 2B 垂直管道安装用,316垂直安装支架,0
安装支架,N,无,无，不带，N/A,1
变送器附加规格,NaN,默认,若甲方未提供，则选择此项,1
变送器附加规格,/A,带避雷器；浪涌保护器；Surge Protection Device；防雷保护,带；带装配式浪涌；带电涌保护器；内置；Yes；需要；内置(T1),0
变送器附加规格,/P1,涂层颜色：蒙塞尔N1.5 (黑色) 涂层：高防腐涂层,黑色环氧漆；黑色,0
变送器附加规格,/P2,涂层颜色：蒙塞尔7.5BG4/1.5 (翠绿色) 涂层：高防腐涂层,绿色环氧漆；绿色,0
变送器附加规格,/P7,涂层颜色：金属银 涂层：高防腐涂层,银色环氧漆；银色,0
